[2018-12-03 14:28:51] main.ERROR: Unable to proceed: the maintenance mode is enabled.  [] []
[2018-12-03 14:29:24] main.ERROR: Sample Data error: Unique constraint violation found [] []
[2018-12-03 14:30:51] main.WARNING: Memory size allocated for the temporary table is more than 20% of innodb_buffer_pool_size. Please update innodb_buffer_pool_size or decrease batch size value (which decreases memory usages for the temporary table). Current batch size: 100000; Allocated memory size: 50000000 bytes; InnoDB buffer pool size: 134217728 bytes. [] []
[2018-12-03 14:30:51] main.WARNING: Memory size allocated for the temporary table is more than 20% of innodb_buffer_pool_size. Please update innodb_buffer_pool_size or decrease batch size value (which decreases memory usages for the temporary table). Current batch size: 100000; Allocated memory size: 50000000 bytes; InnoDB buffer pool size: 134217728 bytes. [] []
[2018-12-03 14:30:51] main.WARNING: Memory size allocated for the temporary table is more than 20% of innodb_buffer_pool_size. Please update innodb_buffer_pool_size or decrease batch size value (which decreases memory usages for the temporary table). Current batch size: 100000; Allocated memory size: 50000000 bytes; InnoDB buffer pool size: 134217728 bytes. [] []
[2018-12-03 14:30:52] main.WARNING: Memory size allocated for the temporary table is more than 20% of innodb_buffer_pool_size. Please update innodb_buffer_pool_size or decrease batch size value (which decreases memory usages for the temporary table). Current batch size: 100000; Allocated memory size: 50000000 bytes; InnoDB buffer pool size: 134217728 bytes. [] []
[2018-12-03 14:30:52] main.WARNING: Memory size allocated for the temporary table is more than 20% of innodb_buffer_pool_size. Please update innodb_buffer_pool_size or decrease batch size value (which decreases memory usages for the temporary table). Current batch size: 100000; Allocated memory size: 50000000 bytes; InnoDB buffer pool size: 134217728 bytes. [] []
[2018-12-03 14:30:52] main.WARNING: Memory size allocated for the temporary table is more than 20% of innodb_buffer_pool_size. Please update innodb_buffer_pool_size or decrease batch size value (which decreases memory usages for the temporary table). Current batch size: 100000; Allocated memory size: 50000000 bytes; InnoDB buffer pool size: 134217728 bytes. [] []
[2018-12-03 14:30:58] main.WARNING: Memory size allocated for the temporary table is more than 20% of innodb_buffer_pool_size. Please update innodb_buffer_pool_size or decrease batch size value (which decreases memory usages for the temporary table). Current batch size: 3334; Allocated memory size: 40008000 bytes; InnoDB buffer pool size: 134217728 bytes. [] []
[2018-12-03 14:34:20] main.INFO: Item Magento_Backend::system_currency was removed [] []
[2018-12-03 14:34:20] main.INFO: Add of item with id Magento_Theme::design_config was processed [] []
[2018-12-03 14:34:20] main.INFO: Add of item with id Magento_Theme::system_design_theme was processed [] []
[2018-12-03 14:34:20] main.INFO: Add of item with id Magento_Backend::system_design_schedule was processed [] []
[2018-12-03 14:34:20] main.INFO: Add of item with id Magento_Backend::system_store was processed [] []
[2018-12-03 14:34:20] main.INFO: Add of item with id Magento_Backend::dashboard was processed [] []
[2018-12-03 14:34:20] main.INFO: Add of item with id Magento_Backend::system was processed [] []
[2018-12-03 14:34:20] main.INFO: Add of item with id Magento_Backend::system_tools was processed [] []
[2018-12-03 14:34:20] main.INFO: Add of item with id Magento_Backend::system_design was processed [] []
[2018-12-03 14:34:20] main.INFO: Add of item with id Magento_Backend::system_convert was processed [] []
[2018-12-03 14:34:20] main.INFO: Add of item with id Magento_Backend::system_cache was processed [] []
[2018-12-03 14:34:20] main.INFO: Add of item with id Magento_Backend::marketing was processed [] []
[2018-12-03 14:34:20] main.INFO: Add of item with id Magento_Backend::marketing_communications was processed [] []
[2018-12-03 14:34:20] main.INFO: Add of item with id Magento_Backend::marketing_seo was processed [] []
[2018-12-03 14:34:20] main.INFO: Add of item with id Magento_Backend::marketing_user_content was processed [] []
[2018-12-03 14:34:20] main.INFO: Add of item with id Magento_Backend::content was processed [] []
[2018-12-03 14:34:20] main.INFO: Add of item with id Magento_Backend::content_elements was processed [] []
[2018-12-03 14:34:20] main.INFO: Add of item with id Magento_Backend::stores was processed [] []
[2018-12-03 14:34:20] main.INFO: Add of item with id Magento_Backend::stores_settings was processed [] []
[2018-12-03 14:34:20] main.INFO: Add of item with id Magento_Backend::stores_attributes was processed [] []
[2018-12-03 14:34:20] main.INFO: Add of item with id Magento_Backend::other_settings was processed [] []
[2018-12-03 14:34:20] main.INFO: Add of item with id Magento_Backend::system_other_settings was processed [] []
[2018-12-03 14:34:20] main.INFO: Add of item with id Magento_Backend::setup_wizard was processed [] []
[2018-12-03 14:34:20] main.INFO: Add of item with id Magento_Variable::system_variable was processed [] []
[2018-12-03 14:34:20] main.INFO: Add of item with id Magento_AdminNotification::system_adminnotification was processed [] []
[2018-12-03 14:34:20] main.INFO: Add of item with id Magento_Config::system_config was processed [] []
[2018-12-03 14:34:20] main.INFO: Add of item with id Magento_Indexer::system_index was processed [] []
[2018-12-03 14:34:20] main.INFO: Add of item with id Magento_Search::search_terms was processed [] []
[2018-12-03 14:34:20] main.INFO: Add of item with id Magento_Search::search_synonyms was processed [] []
[2018-12-03 14:34:20] main.INFO: Add of item with id Magento_User::system_acl was processed [] []
[2018-12-03 14:34:20] main.INFO: Add of item with id Magento_User::system_acl_users was processed [] []
[2018-12-03 14:34:20] main.INFO: Add of item with id Magento_User::system_acl_roles was processed [] []
[2018-12-03 14:34:20] main.INFO: Add of item with id Magento_User::system_acl_locks was processed [] []
[2018-12-03 14:34:20] main.INFO: Add of item with id Magento_Customer::customer was processed [] []
[2018-12-03 14:34:20] main.INFO: Add of item with id Magento_Customer::customer_manage was processed [] []
[2018-12-03 14:34:20] main.INFO: Add of item with id Magento_Customer::customer_online was processed [] []
[2018-12-03 14:34:20] main.INFO: Add of item with id Magento_Customer::customer_group was processed [] []
[2018-12-03 14:34:20] main.INFO: Add of item with id Magento_Backup::system_tools_backup was processed [] []
[2018-12-03 14:34:20] main.INFO: Add of item with id Magento_Cms::cms_page was processed [] []
[2018-12-03 14:34:20] main.INFO: Add of item with id Magento_Cms::cms_block was processed [] []
[2018-12-03 14:34:20] main.INFO: Add of item with id Magento_Catalog::catalog was processed [] []
[2018-12-03 14:34:20] main.INFO: Add of item with id Magento_Catalog::catalog_products was processed [] []
[2018-12-03 14:34:20] main.INFO: Add of item with id Magento_Catalog::catalog_categories was processed [] []
[2018-12-03 14:34:20] main.INFO: Add of item with id Magento_Catalog::catalog_attributes_attributes was processed [] []
[2018-12-03 14:34:20] main.INFO: Add of item with id Magento_Catalog::catalog_attributes_sets was processed [] []
[2018-12-03 14:34:20] main.INFO: Add of item with id Magento_Catalog::inventory was processed [] []
[2018-12-03 14:34:20] main.INFO: Add of item with id Magento_CatalogRule::promo was processed [] []
[2018-12-03 14:34:20] main.INFO: Add of item with id Magento_CatalogRule::promo_catalog was processed [] []
[2018-12-03 14:34:20] main.INFO: Add of item with id Magento_Integration::system_extensions was processed [] []
[2018-12-03 14:34:20] main.INFO: Add of item with id Magento_Integration::system_integrations was processed [] []
[2018-12-03 14:34:20] main.INFO: Add of item with id Magento_Sales::sales was processed [] []
[2018-12-03 14:34:20] main.INFO: Add of item with id Magento_Sales::sales_operation was processed [] []
[2018-12-03 14:34:20] main.INFO: Add of item with id Magento_Sales::sales_order was processed [] []
[2018-12-03 14:34:20] main.INFO: Add of item with id Magento_Sales::sales_invoice was processed [] []
[2018-12-03 14:34:20] main.INFO: Add of item with id Magento_Sales::sales_shipment was processed [] []
[2018-12-03 14:34:20] main.INFO: Add of item with id Magento_Sales::sales_creditmemo was processed [] []
[2018-12-03 14:34:20] main.INFO: Add of item with id Magento_Sales::sales_transactions was processed [] []
[2018-12-03 14:34:20] main.INFO: Add of item with id Magento_Sales::system_order_statuses was processed [] []
[2018-12-03 14:34:20] main.INFO: Add of item with id Magento_Widget::cms_widget_instance was processed [] []
[2018-12-03 14:34:20] main.INFO: Add of item with id Magento_CheckoutAgreements::sales_checkoutagreement was processed [] []
[2018-12-03 14:34:20] main.INFO: Add of item with id Magento_Paypal::report_salesroot_paypal_settlement_reports was processed [] []
[2018-12-03 14:34:20] main.INFO: Add of item with id Magento_Paypal::paypal_billing_agreement was processed [] []
[2018-12-03 14:34:20] main.INFO: Add of item with id Magento_Downloadable::report_products_downloads was processed [] []
[2018-12-03 14:34:20] main.INFO: Add of item with id Magento_UrlRewrite::urlrewrite was processed [] []
[2018-12-03 14:34:20] main.INFO: Add of item with id Magento_Email::template was processed [] []
[2018-12-03 14:34:20] main.INFO: Add of item with id Magento_CurrencySymbol::system_currency was processed [] []
